;Classe;Date de création ;Adresse du siège ;Site Web ;Téléphone ;Email 
49;industrie;01/06/2011;27 Rue Gabriel Péri76600 Le Havre;http://www.s2fnetwork.fr/;02 35 22 64 24;s.millot@s2fnetwork.fr
50;industrie;01/01/2004;4 Place Robert Schuman 38000  Grenoble;http://www.crocus-technology.com/;04 38 12 10 70;info@crocus-technology.com
51;industrie;01/01/2013;Place Georges Pompidou La maison des technologies83000 Toulon;http://www.youartlucky.com;;community@youartlucky.com
52;industrie;01/01/2009;2 Bis rue des tilleuls93100  Montreuil;http://www.msc-scanning.com/;+33 (0)9 70 40 87 80;info@msc-scanning.com
53;industrie;01/01/1979;4 avenue Jean Monnet37 160 Descartes;http://www.capmonetique.com;+33 (0)2 47 92 95 01;
54;industrie;01/01/1989;5 rue René Char21000 Dijon;http://www.synthesevideo.com;+33 (0)3 80 73 41 58;dc@synthesevideo.com
55;industrie;06/10/2009;Ailes des sciences de l'ingénieur 9, avenue Alain Savary21000 Dijon;http://odalid.com;+33 (0)9 72 12 90 98;contact@odalid.com
56;industrie;01/05/2000;Les Aubépins18410 ARGENT/Sauldre;http://www.paragon-identification.fr;;identification@paragon-identification.fr
57;industrie;01/01/1997;2 rue Paul Sabatier22300 Lannion;;;
58;industrie;01/01/2007;29 Rue Georges Besse63100 Clermont-Ferrand;http://www.exotic-systems.com;+33 (0) 473 155 701;contact@exotic-systems.com
59;industrie;09/09/2011;Espace Coriolis 2 Avenue de l'Europe71210 Ecuisses;http://www.damalisk.com/index.php/FR;+33 (0)3 85 55 71 50;contact@damalisk.fr
60;industrie;01/01/1989;17 rue d'Ahuy21121 Hauteville Les Dijon;http://www.3cconcept.fr/fr/;0 380 550 130;info@3cconcept.fr
61;industrie;14/04/1993;Zone de l'Europe 2, rue Marguerite Yourcenar21000 Dijon;http://www.agid.fr;+33 (0) 380 72 90 09;info@agid.fr
62;industrie;01/04/2009;425 rue Jean Rostand31670 Labège;http://intesens.com/dms/index.php;05 61 33 10 00;info@intesens.com
63;industrie;01/03/2004;5 Rue du Colobri 59650 Villeneuve D'ascq ;http://www.mc2-technologies.com/;03 20 04 55 67;nicolas.vellas@mc2-technologies.com
64;industrie;01/06/2009;2 Rue de la Girafe14000 Caen;http://www.ipdia.com/;02 31 535 400;contact@ipdia.com
65;industrie;01/01/2006;http://www.usine-digitale.fr/article/normandie-caen-et-rouen-soeurs-rivales.N21105027100 Val de Reuil;http://www.altitudeinfrastructure.fr/;0805 761 000; bruno.maugendre@altitudeinfra.fr
66;industrie;01/01/2001;71 Avenue André Roussin BP 5006713321 Marseille;http://www.jaguar-network.com/;0811 656 111;contact@jaguar-network.com
67;industrie;04/05/1994;3-5 rue Raymond Lavigne33100 Bordeaux;http://www.immersion.fr;+33 5 57 54 17 00;info@immersion.fr
68;industrie;01/11/2011;CEEI Nice Premium 1 boulevard Maître Maurice Slama06200 Nice;http://www.stardust-testing.com/;09 72 43 72 85;contact@francelabs.com
69;industrie;01/01/1982;13 rue Jacques Monod17001 La Rochelle;http://www.irium-france.com;05 46 44 75 76;info@irium-france.com
70;industrie;01/01/1910;18 rue Grange Dame Rose78140 Vélizy-Villacoublay;http://www.hitachi.fr;01 34 63 05 00;
71;industrie;01/01/2003;3 Rue Blaise Pascal22300  Lannion;http://www.ekinops.net;01 49 97 04 04;contact@ekinops.net
72;industrie;01/01/2010;61 Rue de l'Abbaye50100  Cherbourg-Octeville;http://oreka-group.fr/;06 81 38 28 70;didier.duffuler@oreka-group.fr
73;industrie;01/07/2003;Centre Espace Performance35769  Saint-Grégoire;http://www.teamcast.fr;02 23 25 26 80;info@teamcast.com
74;industrie;01/01/1988;78 rue Olivier de Serres75015  Paris;http://www.orange.fr/;;
75;industrie;01/01/1999;ZAC Airlande 2, rue Jacqueline Auriol CS 69123 Saint-Jacques-de-la-Lande35091 Rennes;http://www.astellia.com/;02 99 048 060;
76;industrie;01/01/1995;Rue de la carrière de Bachasson13590 MEYREUIL;http://www.insidesecure.com;;
77;industrie;01/01/1932;Usines de Mortain-Romagny50140  Mortain;http://www.acome.fr;02 33 89 31 00;
78;industrie;01/09/2011;4 Place Henri Manceau  08390  MARQUIGNY;http://www.aztech-innovation.com;06 88 89 33 71;contact@aztech-innovation.com
79;industrie;01/05/2010;7 parvis Louis Néel 38040  Grenoble;http://www.isorg.fr;04 38 78 10 11;
80;industrie;01/01/2004;11 avenue de l’Europe31520 Ramonville St Agne;https://www.alsatis.com;09 70 24 72 47;
81;industrie;01/04/2009;2000 route des Lucioles06410  BIOT;http://www.iqsim.com;04 97 04 19 30;
82;industrie;01/12/2009;16 Avenue Pey Berland33600 PESSAC;http://olikrom.com;06 17 98 36 20;contact@olikrom.com
83;industrie;01/01/1999;1068 Rue de la Vielle Poste 34000   MONTPELLIER;http://www.alliancetelecom.fr;08 05 14 21 42 ;conseils@alliancetelecom.fr
84;industrie;01/09/2004;4 Rue Brindejonc des Moulinais31500  TOULOUSE;http://www.6t-mic.com;05 34 43 63 39;contact@6t-mic.com
85;industrie;01/01/2004;13 rue du Développement - ZI de Vic31320  Castanet-Tolosan;http://www.lrvision.eu;09 80 40 53 20;contact@lrvision.fr
86;industrie;01/04/2005;1 avenue de l'Europe - Bat A 31400 Toulouse;http://www.6mouv.com;05 61 32 89 73 ;
87;industrie;01/09/2009;27 rue Galiane65000  Tarbes;http://www.vibraction.fr;05 62 37 05 77 ;webmaster@vibraction.fr 
88;industrie;01/01/2012;49 Grand rue Saint-Michel - Immeuble AXESUD31400  Toulouse;http://www.flightwatching.com;05 34 31 94 22;contact@flightwatching.com
89;industrie;01/05/2008;ZAC de la patte d'oie - 11 rue de Savoie31330 MERVILLE FRANCE;http://www.angeo-technology.fr;05 62 13 41 57;
90;industrie;01/01/2011;719 rue Albert Camus31190  Auterive;http://www.wattlet.fr;05 61 50 26 30;
91;industrie;01/01/2007;9 rue de la République69001 LYON;http://www.courb.net;;
92;industrie;01/07/2012;4 Avenue de Cambridge14200 Hérouville Saint Clair;http://www.dejamobile.com;02 14 74 75 00;
93;industrie;01/07/2008;9 avenue Georges Auric72000 Le Mans;http://e4v.eu;01 45 50 35 22;contact@e4v.eu
94;industrie;01/10/2010;24 Avenue Gaston Imbert – Zone industrielle Rousset13790 Rousset;http://www.genesink.com;04 42 37 05 80;contact@genesink.com
95;industrie;01/09/2012;539 Broadway94133 San Francisco;http://www.hellonomad.com;+1 415 400 44 13;
96;industrie;01/01/2013;47 rue du Général Delestraint75016  PARIS;http://www.batiwiz.com;;contact@batiwiz.com
97;industrie;01/01/2009;2 Promenade d'Andromède72100  Le Mans;http://www.mesmateriaux.com;;
98;industrie;01/01/2010;715, Route de Saint Félix - ZAE Rumilly Sud74150 RUMILLY;http://www.techniwood.fr;04 50 69 55 50;commercial@techniwood.fr
99;industrie;01/04/2004;6 rue de la Carrière35577 Cesson-Sévigné;http://www.enensys.com;01 70 61 76 39;sales@enensys.com
100;industrie;01/11/2006;168 bis 170 rue Raymond Losserand75014  PARIS;http://www.gostai.com;01 77 37 17 52;contact@gostai.com
101;industrie;01/01/2012;4 rue Boussingault67000 Strasbourg;http://www.biodesiv.com;06 74 27 37 94;contact@biodesiv.com
102;industrie;01/01/2006;120 rue Jean Jaurès93200 Levallois-Perret;http://www.navx.info;;
103;industrie;01/07/2005;520 rue de Chanteloup45520  Chevilly;http://www.glycodiag.com;02 38 41 72 85;contact@glycodiag.com
104;industrie;01/07/2007;23 rue René Cassin74240  Gaillard;http://www.tita-creuset.com;09 63 02 88 60;
105;industrie;01/07/2007;110 rue Blaise Pascal38330 Montbonnot-Saint-Martin;http://www.tiempo-ic.com;04 76 61 10 00;web-contact@tiempo-ic.com
106;industrie;01/06/2005;135 avenue de Rangueil31077 TOULOUSE;http://www.nanomeps.fr;05 62 26 07 92;contact@nanomeps.fr
107;industrie;01/02/2008;Immeuble Orchis/route nationale35650 Le Rheu;http://www.neli.fr;;contact@neli-technologies.com
108;industrie;01/03/2007;22 Avenue Doyen Louis Weil38000  Grenoble;http://www.movea.com;04 38 21 19 31;
109;industrie;01/08/2008;2 Allée Gustave Eiffel - Campus de Ker Lann35170  BRUZ;http://www.taztag.com;02 99 57 90 60;contact@taztag.com	
110;industrie;01/09/2008;1 bis rue d’Ouessant35762 St-Grégoire;http://www.new-rfid-concept.com;02 99 63 53 99/02 99 25 03 36;Yves.eray@new-rfid-concept.com
111;industrie;01/07/2007;Route de Villepècle, Espace Green Parc - Bât. C191280  Saint Pierre du Perray;http://www.poly-shape.com;04 13 22 19 10;info@poly-shape.com
112;industrie;01/11/2007;18 Villa Blanche92000  Nanterre;http://www.dunasys.com;09 72 38 37 98;
113;industrie;01/08/2008;46 rue d'Amsterdam75009  Paris;http://www.vedicis.com;01 44 63 71 06;info@vedicis.com
114;industrie;01/12/2009;12 rue Joliot Curie91690  Saclas;http://www.mobilorama.com;;contact@mobilorama.com
115;industrie;01/01/2007;250 route de Tiragon06370 MOUANS-SARTOUX;http://www.demtech.net;09 72 34 64 25;contact@demtech.net
116;industrie;01/11/2009;Rue Lac de la Thuile - Savoie Technolac73370 Le Bourget-du-Lac;http://www.kapteos.com;04 79 62 88 34;
117;industrie;01/01/2010;400 avenue Roumanille06410 Biot ;http://www.rivierawaves.com;04 83 76 06 00;contact@rivierawaves.com
118;industrie;01/06/2006;191 Avenue Aristide Briand94230  Cachan;http://www.neelogy.com;01 83 64 10 53;contact@neelogy.com
119;industrie;01/07/2008;79 rue du faubourg Poissonnière75010 Paris;https://moodstocks.com ;01 42 46 15 56;
120;industrie;01/01/2013;4 rue Andrée Marie Ampère22300 LANNION;http://www.apizee.fr;02 30 96 61 35;info@apizee.com
121;industrie;01/03/2014;37b rue du Sentier75002  Paris;https://aircall.io;01 76 36 06 95;
122;industrie;01/01/2012;425 rue Jean Rostand31760 Labège;http://www.mobirider.com;05 82 08 07 49;contact@mobirider.com
123;industrie;01/01/2013;13 quai Verdun Gensoul69002 Lyon;http://renoverseul.com;01 83 77 72 31/ 06 98 22 48 84;contact@renoverseul.com
124;industrie;01/01/2007;35 Rue pasteur83000 Z.I Toulon Est ;http://www.astron-fiamm.com;04 94 61 73 05;
125;industrie;01/11/2013;5 Allée Gustave Eiffel87410 LE PALAIS SUR VIENNE;http://www.solumix.fr;;
126;industrie;01/01/2005;97 rue de Freyr34000 Montpellier;http://www.cortus.com;04 30 96 70 00;r&d@cortus.com
127;industrie;01/06/2007;2405 Route des Dolines06560 Valbonne;http://www.adipsys.com;04 89 82 92 45;
128;industrie;01/10/2011;8 rue Tavernier69001  Lyon;http://www.simplauto.com;04 82 53 72 96;info@simplauto.com
129;industrie;01/01/2011;49/51 Rue de Ponthieu75008 Paris;http://www.travozen.com;;travozen@travozen.com
130;industrie;01/01/2013;16 Menachem Begin St. - Gamma Building, 4th floor 5270003 Ramat-Gan ;http://www.store-dot.com;+972-3-509 77 10;info@store-dot.com
131;industrie;01/01/2012;Boulevard de Grancy 19A1006 Lausanne;http://www.tinynode.com;+41 21 510 11 84;tinynode@tinynode.com
132;industrie;01/01/2009;130-190 Boulevard de Verdun92413 Courbevoie;http://www.axiatel.com;0 805 200 300;
133;industrie;01/08/2013;7 parvis Louis Néel38040  Grenoble;http://www.primo1d.com;;
134;industrie;01/01/2010;Z.A. Les Baronnes - 385 Avenue des Baronnes34730  Prades-le-Lez;http://www.indatech.eu;04 67 67 97 80;contact@indatech.eu
135;industrie;01/01/2007;515 rue Alfred Nobel34000 Montpellier;http://www.tageos.com;04 67 59 30 55;contact@tageos.com
136;industrie;01/01/2011;2 allée du doyen Georges Brus33600 PESSAC;http://www.muquans.com;05 56 46 27 97;bruno.desruelle@muquans.com
137;industrie;01/03/2011;115 Rue Claude CHAPPE29280 Plouzané;http://www.movensee.com;09 70 75 13 15;contact@movensee.com
138;industrie;01/01/2007;4 Avenue de l'Opéra75001 Paris;http://www.evi-group.fr;03 57 48 03 26;
139;industrie;01/02/2009;3 allée des Séquoias69760 LIMONEST;http://www.avencall.com;04 37 49 78 10;contact@avencall.com
140;industrie;01/01/2007;790 avenue du Docteur Maurice Donat 06250  Mougins;http://www.kapsys.com;04 92 28 88 88;contact@kapsys.com
141;industrie;01/01/2011;ZA de la Muscatelle - Chemin de la Muscatelle13790 Châteauneuf-le-Rouge;http://www.marsatwork.fr;04 42 22 61 23;contact@mayamax-industrie.fr
142;industrie;01/01/2013;66 rue de Miromesnil75008  Paris;http://www.newdane.com;01 49 72 81 81;
143;industrie;01/01/2008;Z.I. Saint Saulve - Rue du Président Lécuyer?59880 Saint Saulve;http://www.cellumat.fr;03 27 51 58 05;
144;industrie;01/03/2010;17 rue du lac Saint André - Savoie Technolac73372 Le Bourget du Lac;http://bespoon.com;04 57 12 96 35;contact@bespoon.com
145;industrie;01/12/2004;Tour W - 102 Terrasse Boieldieu92085  Paris ;https://www.intersec.com;01 55 70 33 55;contact@intersec.com
146;industrie;01/01/2010;84 rue des plantes 91230  Montgeron;http://www.ecoxia.fr/ecoxia/intro.html;06 07 35 38 25;laurent.riscala@ecoxia.com
147;industrie;01/08/2006;425 Rue René Descartes13857 Aix-en-Provence;http://www.twinlinx.com;04 42 50 08 04;jkowalski@twinlinx.com
148;industrie;01/02/2012;10-12 Avenue de l'Europe78140 Velizy;http://www.oledcomm.com;01 39 25 47 57;contact@oledcomm.com
149;industrie;01/06/2007;25 rue Issartier33700  Mérignac;http://www.deolan.com;05 35 54 00 95;contact@deolan.com
150;industrie;01/12/2009;P.A du Grand Girac Rue Jean Doucet16470 Saint Michel;http://www.ez-wheel.com;05 31 61 55 80;info@ez-wheel.com
151;industrie;01/01/2008;80 Avenue des Buttes de Coësmes35700  Rennes;http://www.inpixal.com;02 99 12 15 02;contact@inpixal.com
152;industrie;01/12/2012;351 Cours de la Libération Domaine D33400  Talence;http://www.argolight.com;05 40 16 31 85;contact@argolight.com
153;industrie;01/01/2011;96 bis Boulevard Raspail75006  Paris;http://www.expliseat.com;01 72 60 50 89;contact@expliseat.com
154;industrie;01/01/2010;83 Rue Chardon Lagache75016 Paris;http://www.bestofartisans.com;01 84 88 90 01;contact@bestofartisans.com
155;industrie;01/01/2005;3 Rue Marcel Pagnol91800  Boussy-Saint-Antoine;http://www.e-blink.com;01 69 00 40 07;info@e-blink.com
156;industrie;01/01/2009;2 rue Blaise Pascal22300 Lannion;http://www.alyacom.fr;02 96 13 41 26;contact@alyacom.fr
157;industrie;01/01/2005;28 Habarzel St.69710 Tel Aviv;http://www.primesense.com;+972 3 769 2222;contact@primesense.com
158;industrie;01/01/2012;666 Sherbrooke St. W., Suite 1602H3A 1E7 Montréal;http://fr.neptunepine.com;;info@neptunepine.com
159;industrie;01/01/1999;Paseo de la Castellana 2128046  Madrid;http://www.gowex.com;+34 91 360 14 70;info@gowex.com
160;industrie;01/09/2010;80 avenue des Buttes de Coësmes35700 Rennes;http://www.diwel.com;02 30 96 02 61;sales@diwel.com
161;industrie;01/06/2013;10 Rue Pau Casals92100  Boulogne-Billancourt;http://www.cailabs.com;06 38 82 62 89;contact@cailabs.com
162;industrie;01/01/2011;3 Avenue Didier Daurat31400  Toulouse;http://www.delair-tech.com;09 50 01 93 52;contact@delair-tech.com
163;industrie;01/01/2013;104a Park StreetW1K 6NG LONDRES;http://www.kazam.mobi;00 44 20 8822 3637;
164;industrie;01/01/2010;Moulin de la Housse51100  Reims;http://www.aerovia.fr;;contact@aerovia.fr
165;industrie;01/09/2009;46 Allée D'Italie69364  Lyon;http://www.smartinst.fr;04 72 72 89 00;contact@smartinst.fr
166;industrie;01/01/2010;22 Rue de Courcelles75008  Paris;http://www.steam-one.com;08 26 10 28 61;info@steam-one.com
167;industrie;01/07/2007;1 Rue de la Noë44321  Nantes;http://www.hydrocean.fr;02 40 20 60 84;contact@hydrocean.fr
168;industrie;01/01/2007;150 Spear Street 94105-1503  San Francisco;http://www.fitbit.com;;info@fitbit.com
169;industrie;01/01/2008;34 route de Longjumeau Lot 2591380 Chilly-Mazarin;http://www.nanoe.com;09 81 98 33 64;contact@nanoe.com
170;industrie;01/01/2010;86 Rue de Paris91400 ORSAY;http://www.green-communications.fr;01 77 93 21 69;contact@green-communications.fr
171;industrie;01/01/2010;11 Avenue de Canteranne33600  Pessac;http://www.azurlight-systems.com;05 47 74 55 90;sales@azurlight-systems.com
172;industrie;01/01/2008;25 Rue Marcel Issartier33700 MERIGNAC;http://www.fly-n-sense.com;05 35 54 00 97;contact@fly-n-sense.com
173;industrie;01/01/2012;10 Place Jean Jaurès42000  Saint-Étienne;http://www.boa-concept.com;04 77 50 21 24;contact@boaconcept.com
174;industrie;27/05/2011;97, Rue Aboukir75002 Paris;http://telorion.com;+33 9 72 39 27 30;contact@telorion.com
175;industrie;01/01/2007;27 Rue Pleyel93200  Saint-Denis;http://www.vitrinemedia.com;01 49 21 00 61;contact@vitrinemedia.com
176;industrie;01/01/2004;9 Rue de la Girafe14000 Caen;http://www.quertech.com;02 31 47 39 64;info@quertech.com
177;industrie;01/10/2011;Privacy Department PL 123900101 Helsinki;http://jolla.com;+358 40 750 2444;info@jolla.com
178;industrie;01/01/2013;80 Avenue des Buttes de Coesmes35700 Rennes;http://www.kerlink.fr;02 99 12 29 00;contact@kerlink.fr
179;industrie;01/01/2006;354 Voie Magellan73800  SAINTE HELENE DU LAC;http://www.acerde.com;04 79 26 48 27;info@acerde.com
180;industrie;01/01/2008;86 Rue de Paris91400  Orsay ;http://www.kalray.eu;01 69 29 08 16;info@kalray.eu
181;industrie;01/01/2008;6 Boulevard de la Libération93200  SAINT DENIS;http://www.advalem.fr;01 77 93 58 20;01 77 93 58 20
182;industrie;01/01/2011;11301 W Olympic Blvd Ste 112NC Los Angeles ;http://www.freedompop.com/home.htm;;legal@freedompop.com
183;industrie;01/01/2010;Office Building, the Rainbow City of China Resources, No.68, Qinghe Middle Street, Haidian District100085 Beijing;http://www.xiaomi.com/;+86 10 60606666;
184;industrie;01/12/2012;ZA de la Sipière 219 avenue de Provence13730 Saint Victoret;http://www.ucall.fr;;
185;industrie;01/01/2009;51 route principale du port - bat G1 hall 4 - CE 16792631 Gennevilliers;http://www.canibal.fr/;01 83 64 52 20;Info@canibal?fr
186;industrie;29/04/2009;86 rue Dutot75015 Paris;http://www.g2m-services.com/;01 71 50 89 87;contact@g2m-services.com
187;industrie;01/11/2009;Bâtiment le Beaupré, 7 quai du Confluant78700 Conflans-Sainte-Honorine;http://www.mooville-by-muses.com/;01 39 19 05 82;contact@mooveco-muses.com
188;industrie;01/01/2011;1 rue du Capitaine Dessmond13007 Marseille;http://fr.wikomobile.com/index.php;;
189;industrie;01/01/2005;11 Rue de L Harmonie Hub Innovati 59491  Villeneuve d'Ascq;http://www.delfmems-blog.eu/;03 20 05 05 45;info@delfmems.com
190;industrie;01/01/2001;Lieu-dit Patau, Route de Rivesaltes66380 Pia;http://coldway.com/;http://coldway.com/;info@coldway.fr
191;industrie;01/08/2009;442 Rue Georges Besse30000 Nîmes;http://www.bodysens.com/;04 66 04 41 41;contact@bodysens.com
192;industrie;01/01/2012;21 Avenue du Général Castelnau33886 Villenave-d'Ornon;http://www.tel4expat.com/;05 35 54 61 00;contact@tel4expat.com
193;industrie;01/01/2009;BIC Cap Alpha, Av. de l'Europe34830 Clapiers;http://www.dhomino.fr/;04 67 59 30 21;contact@dhomino.fr
194;industrie;01/01/2011;12 Allee Rene Fonck51100 Reims;http://www.toowap.com/;03 26 86 66 20;contact@toowap.com
195;industrie;01/01/2010;NCNC NC;http://www.myfilip.com/;;contact@myfilip.com
196;industrie;01/01/2004;76 Rue de Monceau75008 Paris;http://www.leosphere.com/;01 81 87 05 00;info@leosphere.fr
197;industrie;29/09/2009;45 rue Frédéric Joliot Curie – Technopôle de Château-Gombert13013 Marseille;http://www.cdd-ic.com;;contact@cdd-ic.com
198;industrie;01/01/2006;Rue de la Croix Blanche78350  Les Loges En Josas;http://www.vectrawave.com/;01 74 87 53 32;contact@vectrawave.com
199;industrie;01/01/2004;4 Avenue Doyen Louis Weil 38000  Grenoble;http://www.alpwise.com/?lang=1;04 76 22 02 24;alpwisesales@alpwise.com
200;industrie;01/01/2008;20 rue Rouget de Lisle 92130  Issy-les-Moulineaux ;http://www.withings.fr/;;
201;industrie;01/01/2009;27 Rue D'Aubuisson 31000  Toulouse;http://www.epsiline.com/fr;05 67 68 87 60;contact@epsiline.com
202;industrie;01/01/2008;30 Rue Nouvelle91650 Breuillet ;http://addelys.eu/;01 64 90 03 49;info@addelys.eu
203;industrie;01/01/2011;Alcatel-Lucent Nantes/Orvault44700 Bretagne;http://www.kiwatch.com;0811 62 00 72;support@kiwatch.com
204;industrie;01/03/2011;12 rue du Traité de Paris44210 Pornic;http://www.camping-car-park.com;33 +(0) 1 83 64 69 21;contact@campingcarpark.com
205;industrie;01/01/2006;Parc Technopolis, Bât. Gamma 3 Avenue du Canada91974 Les Ulis;http://www.orolia.com;+33 (0)1.64.53.39.80;marcom@orolia.com
206;industrie;01/01/2003;839 Chemin du Pey de Gallin83170 Brignoles;http://www.a2s2.fr;0494720894;contact@a2s2.fr
207;industrie;01/01/2004;73 Allee de la Clairiere91190 Gif-sur-Yvette;http://www.accuwatt.fr/;0169331040;info@accuwatt.fr
208;industrie;01/08/2011;Via Tosco Romagnola, 136 Pontedera56025 Pisa;http://www.alleantia.com;050 9911933;info@alleantia.com
209;industrie;01/01/2010;120 boulevard Camélinat92240 Malakoff;http://www.fabulousbrands.eu;+33 1 83 62 32 44;contact@fabulousbrands.eu / cedric.segal@fabulousbrands.eu
